SEQUENCE_GISAID_STRAIN,SEQUENCE_REPOSITORY,SEQUENCE_GISAID_ACCESSION,SEQUENCE_GENBANK_ACCESSION,SEQUENCE_SPECIMEN_COLLECTION_DATE,COUNTY_NAME
USA/WA-CDC-QDX46179423/2023,GISAID; GenBank,EPI_ISL_16917650,OQ430944.1,2023-01-24,Thurston County
USA/WA-CDC-LC1033515/2023,GISAID; GenBank,EPI_ISL_17411863,OQ748398.1,2023-03-23,Thurston County
USA/WA-CDC-LC1029158/2023,GISAID; GenBank,EPI_ISL_17321125,OQ699503.1,2023-03-13,Thurston County
USA/WA-CDC-UW23073187337/2023,GISAID; GenBank,EPI_ISL_18104043,OR439374.1,2023-07-31,Thurston County
USA/WA-CDC-LC1017969/2023,GISAID; GenBank,EPI_ISL_17224975,OQ632163.1,2023-02-21,Thurston County
USA/WA-CDC-UW23032277711/2023,GISAID; GenBank,EPI_ISL_17395805,OQ833313.1,2023-03-22,Thurston County
USA/WA-CDC-LC1107753/2024,GISAID,EPI_ISL_19289211,,2024-06-17,Thurston County
USA/WA-CDC-QDX80078248/2023,GISAID; GenBank,EPI_ISL_17653526,OQ977807.1,2023-05-02,Thurston County
USA/WA-CDC-LC1115705/2024,GISAID; GenBank,EPI_ISL_19379579,PQ277889.1,2024-08-20,Thurston County
USA/WA-CDC-LC1025169/2023,GISAID; GenBank,EPI_ISL_17237368,OQ642946.1,2023-03-03,Thurston County
USA/WA-CDC-LC1024999/2023,GISAID; GenBank,EPI_ISL_17237511,OQ643089.1,2023-03-04,Thurston County
USA/WA-CDC-LC1107610/2024,GISAID; GenBank,EPI_ISL_19289214,PP994247.1,2024-06-21,Thurston County
USA/WA-CDC-QDX46877622/2023,GISAID; GenBank,EPI_ISL_17134995,OQ577919.1,2023-02-14,Thurston County
USA/WA-CDC-UW23103132682/2023,GISAID; GenBank,EPI_ISL_18533866,OR815630.1,2023-10-31,Thurston County
USA/WA-UW-22123176235/2022,,,,2022-12-31,Thurston County
USA/WA-CDC-LC1024859/2023,GISAID; GenBank,EPI_ISL_17237060,OQ642712.1,2023-03-01,Thurston County
USA/WA-CDC-LC1049871/2023,GISAID; GenBank,EPI_ISL_18121169,OR465160.1,2023-08-02,Thurston County
USA/WA-CDC-LC1102048/2024,,,,2024-03-13,Thurston County
USA/WA-CDC-LC1068166/2023,GISAID; GenBank,EPI_ISL_18550270,OR861813.1,2023-10-26,Thurston County
USA/WA-UW-24022210520/2024,GISAID; GenBank,EPI_ISL_19138400,PP496912.1,2024-02-22,Thurston County
USA/WA-CDC-LC1007869/2023,GISAID; GenBank,EPI_ISL_16945043,OQ443765.1,2023-02-03,Thurston County
USA/WA-CDC-QDX85991792/2023,GISAID; GenBank,EPI_ISL_18404045,OR686454.1,2023-10-02,Thurston County
USA/WA-CDC-LC0998766/2023,GISAID; GenBank,EPI_ISL_16859571,OQ403345.1,2023-01-20,Thurston County
USA/WA-CDC-QDX47312327/2023,GISAID; GenBank,EPI_ISL_17237690,OQ643270.1,2023-02-26,Thurston County
USA/WA-CDC-LC1066926/2023,GISAID; GenBank,EPI_ISL_18580266,OR864853.1,2023-10-17,Thurston County
USA/WA-CDC-LC0984289/2023,GISAID; GenBank,EPI_ISL_16669810,OQ258167.1,2023-01-02,Thurston County
USA/WA-CDC-QDX46611927/2023,GISAID; GenBank,EPI_ISL_17009132,OQ505322.1,2023-02-06,Thurston County
USA/WA-UW-24011945325/2024,GISAID; GenBank,EPI_ISL_19138437,PP492640.1,2024-01-19,Thurston County
USA/WA-CDC-LC1068336/2023,GISAID; GenBank,EPI_ISL_18550200,OR861743.1,2023-10-23,Thurston County
USA/WA-CDC-UW23100728691/2023,GISAID; GenBank,EPI_ISL_18403946,OR686354.1,2023-10-07,Thurston County
USA/WA-CDC-LC1025172/2023,GISAID; GenBank,EPI_ISL_17237273,OQ642851.1,2023-03-02,Thurston County
USA/WA-CDC-UW24021732014/2024,GISAID; GenBank,EPI_ISL_18942425,PP406997.1,2024-02-17,Thurston County
USA/WA-CDC-QDX85698746/2023,GISAID; GenBank,EPI_ISL_18379436,OR662245.1,2023-09-25,Thurston County
USA/WA-CDC-UW24021532766/2024,GISAID; GenBank,EPI_ISL_18942417,PP406989.1,2024-02-15,Thurston County
USA/WA-CDC-LC1042021/2023,GISAID; GenBank,EPI_ISL_17680473,OQ997078.1,2023-05-03,Thurston County
USA/WA-CDC-LC1032948/2023,GISAID; GenBank,EPI_ISL_17393376,OQ733774.1,2023-03-19,Thurston County
USA/WA-CDC-LC1113390LC1113390/2024,,,,2024-07-31,Thurston County
USA/WA-CDC-QDX45593461/2023,GISAID; GenBank,EPI_ISL_16729471,OQ347641.1,2023-01-13,Thurston County
USA/WA-CDC-LC1070368/2023,GISAID; GenBank,EPI_ISL_18576262,OR864386.1,2023-11-06,Thurston County
USA/WA-CDC-UW23032720150/2023,GISAID; GenBank,EPI_ISL_17431158,OQ799143.1,2023-03-27,Thurston County
USA/WA-CDC-QDX47418433/2023,GISAID; GenBank,EPI_ISL_17238413,OQ643953.1,2023-03-01,Thurston County
USA/WA-CDC-QDX47214589/2023,GISAID; GenBank,EPI_ISL_17191680,OQ610145.1,2023-02-24,Thurston County
USA/WA-CDC-LC1068337/2023,GISAID; GenBank,EPI_ISL_18550196,OR861739.1,2023-10-23,Thurston County
USA/WA-CDC-UW23041061631/2023,GISAID; GenBank,EPI_ISL_17497650,OQ842359.1,2023-04-10,Thurston County
USA/WA-CDC-UW23080383137/2023,GISAID; GenBank,EPI_ISL_18104059,OR439390.1,2023-08-03,Thurston County
USA/WA-CDC-LC1025177/2023,GISAID; GenBank,EPI_ISL_17237512,OQ643090.1,2023-03-04,Thurston County
USA/WA-CDC-UW23121831042/2023,GISAID; GenBank,EPI_ISL_18700109,PP053490.1,2023-12-18,Thurston County
USA/WA-CDC-LC1025001/2023,GISAID; GenBank,EPI_ISL_17237510,OQ643088.1,2023-03-04,Thurston County
USA/WA-CDC-QDX46179453/2023,GISAID; GenBank,EPI_ISL_16906480,OQ425561.1,2023-01-25,Thurston County
USA/WA-CDC-LC0994396/2023,GISAID; GenBank,EPI_ISL_16741919,OQ353273.1,2023-01-12,Thurston County
USA/WA-CDC-QDX46877620/2023,GISAID; GenBank,EPI_ISL_17134901,OQ577904.1,2023-02-14,Thurston County
USA/WA-CDC-LC1004695/2023,GISAID; GenBank,EPI_ISL_16915890,OQ431825.1,2023-01-25,Thurston County
USA/WA-CDC-LC1024839/2023,GISAID; GenBank,EPI_ISL_17237059,OQ642711.1,2023-03-01,Thurston County
USA/WA-UW-23030540737/2023,GISAID; GenBank,EPI_ISL_17759979,OQ673812.1,2023-03-05,Thurston County
USA/WA-CDC-LC1033819/2023,GISAID; GenBank,EPI_ISL_17411999,OQ748489.1,2023-03-25,Thurston County
USA/WA-CDC-LC1004712/2023,GISAID; GenBank,EPI_ISL_16915848,OQ431783.1,2023-01-24,Thurston County
USA/WA-CDC-QDX47214590/2023,GISAID; GenBank,EPI_ISL_17180355,OQ602675.1,2023-02-23,Thurston County
USA/WA-CDC-UW23033073387/2023,GISAID; GenBank,EPI_ISL_17431139,OQ799185.1,2023-03-30,Thurston County
USA/WA-CDC-UW23032053034/2023,GISAID; GenBank,EPI_ISL_17395857,OQ833250.1,2023-03-20,Thurston County
USA/WA-CDC-LC1069107/2023,GISAID; GenBank,EPI_ISL_18528840,OR833430.1,2023-10-30,Thurston County
USA/WA-CDC-LC0988107/2023,GISAID; GenBank,EPI_ISL_16665231,OQ294594.1,2023-01-07,Thurston County
USA/WA-CDC-QDX47362045/2023,GISAID; GenBank,EPI_ISL_17237649,OQ643229.1,2023-02-24,Thurston County
USA/WA-PHL-033017/2023,GISAID; GenBank,EPI_ISL_17509686,PQ372717.1,2023-03-09,Thurston County
USA/WA-CDC-LC0998963/2023,GISAID; GenBank,EPI_ISL_16859673,OQ403447.1,2023-01-22,Thurston County
USA/WA-CDC-QDX46552180/2023,GISAID; GenBank,EPI_ISL_16992137,OQ467071.1,2023-02-03,Thurston County
USA/WA-CDC-LC1122885/2024,,,,2024-09-23,Thurston County
USA/WA-CDC-UW23091655282/2023,GISAID; GenBank,EPI_ISL_18327805,OR610819.1,2023-09-16,Thurston County
USA/WA-UW-24012416719/2024,GISAID; GenBank,EPI_ISL_19138338,PP492595.1,2024-01-24,Thurston County
USA/WA-CDC-LC1042819/2023,GISAID; GenBank,EPI_ISL_17853644,OR064424.1,2023-05-17,Thurston County
USA/WA-CDC-UW23030740764/2023,GISAID; GenBank,EPI_ISL_17253340,OQ674590.1,2023-03-07,Thurston County
USA/WA-CDC-LC1051866/2023,GISAID; GenBank,EPI_ISL_18212827,OR511232.1,2023-08-15,Thurston County
USA/WA-CDC-LC1137749/2025,,,,2025-05-05,Thurston County
USA/WA-CDC-UW23101711021/2023,GISAID; GenBank,EPI_ISL_18430341,OR722067.1,2023-10-17,Thurston County
USA/WA-CDC-LC1067089/2023,GISAID; GenBank,EPI_ISL_18580214,OR864801.1,2023-10-16,Thurston County
USA/WA-CDC-LC1004724/2023,GISAID; GenBank,EPI_ISL_16916145,OQ432008.1,2023-01-28,Thurston County
USA/WA-CDC-UW23081883717/2023,GISAID; GenBank,EPI_ISL_18212574,OR510978.1,2023-08-18,Thurston County
USA/WA-CDC-UW23110793399/2023,GISAID; GenBank,EPI_ISL_18528534,OR832376.1,2023-11-07,Thurston County
USA/WA-CDC-LC1024860/2023,GISAID; GenBank,EPI_ISL_17237017,OQ642669.1,2023-03-01,Thurston County
USA/WA-CDC-QDX46611932/2023,GISAID; GenBank,EPI_ISL_17009419,OQ505609.1,2023-02-08,Thurston County
USA/WA-UW-24021935763/2024,GISAID; GenBank,EPI_ISL_19138423,PP496929.1,2024-02-19,Thurston County
USA/WA-CDC-LC1017739/2023,GISAID; GenBank,EPI_ISL_17223889,OQ631120.1,2023-02-12,Thurston County
USA/WA-CDC-QDX45962588/2023,GISAID; GenBank,EPI_ISL_16892171,OQ419631.1,2023-01-23,Wahkiakum County
USA/WA-CDC-UW23073168504/2023,GISAID; GenBank,EPI_ISL_18104041,OR439372.1,2023-07-31,Chelan County
USA/WA-PHL-033066/2023,GISAID; GenBank,EPI_ISL_17509726,PQ372761.1,2023-01-10,Chelan County
USA/WA-UW-23033107165/2023,GISAID; GenBank,EPI_ISL_17760285,OQ851709.1,2023-03-31,Chelan County
USA/WA-UW-23021058662/2023,GISAID; GenBank,EPI_ISL_17580678,OQ503977.1,2023-02-10,Chelan County
USA/WA-PHL-032982/2023,GISAID; GenBank,EPI_ISL_17258730,PQ386168.1,2023-02-26,Chelan County
USA/WA-CDC-UW23071914703/2023,GISAID; GenBank,EPI_ISL_18069139,OR388793.1,2023-07-19,Chelan County
USA/WA-PHL-033064/2023,GISAID,EPI_ISL_17646206,,2023-02-12,Chelan County
USA/WA-CDC-UW23103081827/2023,GISAID; GenBank,EPI_ISL_18533858,OR815622.1,2023-10-30,Chelan County
USA/WA-PHL-032504/2023,GISAID; GenBank,EPI_ISL_17012809,PQ372477.1,2023-01-09,Chelan County
USA/WA-CDC-UW23011608831/2023,GISAID; GenBank,EPI_ISL_16639994,OQ306920.1,2023-01-16,Chelan County
USA/WA-PHL-032509/2023,GISAID; GenBank,EPI_ISL_17012814,PQ372482.1,2023-01-19,Chelan County
USA/WA-PHL-034899/2023,GISAID; GenBank,EPI_ISL_18384298,OR680225.1,2023-09-11,Chelan County
USA/WA-CDC-UW23030737911/2023,GISAID; GenBank,EPI_ISL_17198295,OQ619371.1,2023-03-07,Chelan County
USA/WA-CDC-UW23071288304/2023,GISAID; GenBank,EPI_ISL_18040083,OR349712.1,2023-07-12,Chelan County
USA/WA-PHL-032981/2023,GISAID; GenBank,EPI_ISL_17258729,PQ386167.1,2023-02-24,Chelan County
USA/WA-CDC-UW24021171820/2024,GISAID; GenBank,EPI_ISL_18942388,PP388268.1,2024-02-11,Chelan County
USA/WA-CDC-LC0995662/2023,GISAID; GenBank,EPI_ISL_16742393,OQ353725.1,2023-01-17,Chelan County
USA/WA-CDC-UW24020191841/2024,GISAID; GenBank,EPI_ISL_18895644,PP335278.1,2024-02-01,Chelan County
USA/WA-UW-23021552050/2023,GISAID; GenBank,EPI_ISL_17580046,OQ568079.1,2023-02-15,Chelan County
USA/WA-CDC-UW24020494731/2024,GISAID; GenBank,EPI_ISL_18942347,PP388227.1,2024-02-04,Chelan County
USA/WA-CDC-UW24020216027/2024,GISAID; GenBank,EPI_ISL_18895645,PP335279.1,2024-02-02,Chelan County
USA/WA-PHL-032984/2023,GISAID; GenBank,EPI_ISL_17258731,PQ386170.1,2023-02-28,Chelan County
USA/WA-CDC-UW24021268841/2024,GISAID; GenBank,EPI_ISL_18942393,PP388273.1,2024-02-12,Chelan County
USA/WA-CDC-UW24021297719/2024,GISAID; GenBank,EPI_ISL_18942391,PP388271.1,2024-02-12,Chelan County
USA/WA-CDC-UW23071249099/2023,GISAID; GenBank,EPI_ISL_18040075,OR349719.1,2023-07-12,Chelan County
USA/WA-PHL-034929/2023,GISAID; GenBank,EPI_ISL_18384317,OR680244.1,2023-08-21,Walla Walla County
USA/WA-CDC-LC1034022/2023,GISAID; GenBank,EPI_ISL_17411944,OQ748452.1,2023-03-24,Walla Walla County
USA/WA-CDC-LC1010287/2023,GISAID; GenBank,EPI_ISL_17019420,OQ510360.1,2023-02-07,Walla Walla County
USA/WA-CDC-VSX-A241252/2023,GISAID; GenBank,EPI_ISL_18622267,OR957706.1,2023-11-10,Walla Walla County
USA/WA-PHL-035280/2024,GISAID; GenBank,EPI_ISL_19122260,PP845914.1,2024-02-22,Walla Walla County
USA/WA-CDC-LC1016371/2023,GISAID; GenBank,EPI_ISL_17223904,OQ631133.1,2023-02-13,Walla Walla County
USA/WA-CDC-LC0998651/2023,GISAID; GenBank,EPI_ISL_16763241,OQ364502.1,2023-01-21,Walla Walla County
USA/WA-PHL-033025/2023,GISAID; GenBank,EPI_ISL_17509692,PQ372723.1,2023-02-10,Walla Walla County
USA/WA-CDC-LC0998417/2023,GISAID; GenBank,EPI_ISL_16762982,OQ364243.1,2023-01-19,Whatcom County
USA/WA-PHL-032808/2023,GISAID; GenBank,EPI_ISL_17258708,PQ386045.1,2023-02-18,Whatcom County
USA/WA-PHL-032271/2023,GISAID; GenBank,EPI_ISL_16756013,PQ372272.1,2023-01-21,Whatcom County
USA/WA-PHL-032915/2023,GISAID; GenBank,EPI_ISL_17258724,PQ386139.1,2023-02-28,Whatcom County
USA/WA-CDC-LC1029149/2023,GISAID; GenBank,EPI_ISL_17321128,OQ699506.1,2023-03-13,Whatcom County
USA/WA-PHL-032539/2023,GISAID; GenBank,EPI_ISL_17012843,PQ372512.1,2023-02-01,Whatcom County
USA/WA-PHL-032799/2023,GISAID,EPI_ISL_17258703,,2023-02-16,Whatcom County
USA/WA-PHL-032909/2023,GISAID; GenBank,EPI_ISL_17258720,PQ386133.1,2023-02-27,Whatcom County
USA/WA-CDC-UW23090956565/2023,GISAID; GenBank,EPI_ISL_18291163,OR578483.1,2023-09-09,Whatcom County
USA/WA-PHL-032779/2023,GISAID; GenBank,EPI_ISL_17258693,PQ386022.1,2023-02-17,Whatcom County
USA/WA-CDC-QDX48685514/2023,GISAID; GenBank,EPI_ISL_17486022,OQ827089.1,2023-03-29,Whatcom County
USA/WA-PHL-033141/2023,GISAID; GenBank,EPI_ISL_18126121,OR098807.1,2023-04-30,Whatcom County
USA/WA-CDC-QDX46448197/2023,GISAID; GenBank,EPI_ISL_16962625,OQ452358.1,2023-02-03,Whatcom County
USA/WA-PHL-032068/2023,GISAID; GenBank,EPI_ISL_16756003,PQ372088.1,2023-01-11,Whatcom County
USA/WA-CDC-UW23092863054/2023,GISAID; GenBank,EPI_ISL_18379361,OR660537.1,2023-09-28,Whatcom County
USA/WA-CDC-LC0988110/2023,GISAID; GenBank,EPI_ISL_16665058,OQ294421.1,2023-01-05,Whatcom County
USA/WA-PHL-033057/2023,GISAID; GenBank,EPI_ISL_17509720,PQ372753.1,2023-03-26,Whatcom County
USA/WA-PHL-032278/2023,GISAID; GenBank,EPI_ISL_16756018,PQ372279.1,2023-01-23,Whatcom County
USA/WA-CDC-QDX86279550/2023,GISAID; GenBank,EPI_ISL_18532591,OR813345.1,2023-10-11,Whatcom County
USA/WA-PHL-032436/2023,GISAID; GenBank,EPI_ISL_17012748,PQ372416.1,2023-01-24,Whatcom County
USA/WA-PHL-033094/2023,GISAID; GenBank,EPI_ISL_17509749,PQ372782.1,2023-03-29,Whatcom County
USA/WA-CDC-LC1024871/2023,GISAID; GenBank,EPI_ISL_17237018,OQ642670.1,2023-03-01,Whatcom County
USA/WA-PHL-032003/2023,GISAID; GenBank,EPI_ISL_16755981,PQ372036.1,2023-01-05,Whatcom County
USA/WA-PHL-032550/2023,GISAID; GenBank,EPI_ISL_17012852,PQ372521.1,2023-02-02,Whatcom County
USA/WA-PHL-032944/2023,GISAID; GenBank,EPI_ISL_17509650,PQ372688.1,2023-03-11,Whatcom County
USA/WA-CDC-LC1100832/2024,GISAID; GenBank,EPI_ISL_18978829,PP469795.1,2024-02-19,Whatcom County
USA/WA-PHL-033178/2023,GISAID; GenBank,EPI_ISL_17977974,OR098820.1,2023-05-15,Whatcom County
USA/WA-CDC-UW23091820817/2023,GISAID; GenBank,EPI_ISL_18327818,OR610832.1,2023-09-18,Whatcom County
USA/WA-CDC-QDX82631753/2023,GISAID; GenBank,EPI_ISL_18053888,OR364263.1,2023-07-11,Whatcom County
USA/WA-PHL-031769/2022,GISAID; GenBank,EPI_ISL_16710621,OQ835884.1,2022-12-28,Whatcom County
USA/WA-PHL-033096/2023,GISAID; GenBank,EPI_ISL_17509751,PQ372783.1,2023-03-29,Whatcom County
USA/WA-PHL-032055/2023,GISAID; GenBank,EPI_ISL_16755994,PQ372077.1,2023-01-11,Whatcom County
USA/WA-PHL-033186/2023,GISAID; GenBank,EPI_ISL_17977980,OR098826.1,2023-05-22,Whatcom County
USA/WA-PHL-033118/2023,GISAID; GenBank,EPI_ISL_17637235,PQ372804.1,2023-04-14,Whatcom County
USA/WA-CDC-QDX84650500/2023,,,,2023-09-01,Whatcom County
USA/WA-PHL-033174/2023,GISAID; GenBank,EPI_ISL_18040102,OR098814.1,2023-05-08,Whatcom County
USA/WA-PHL-032749/2023,GISAID; GenBank,EPI_ISL_17258686,PQ385996.1,2023-02-11,Whatcom County
USA/WA-PHL-032800/2023,GISAID; GenBank,EPI_ISL_17258704,PQ386038.1,2023-02-16,Whatcom County
USA/WA-PHL-033109/2023,GISAID; GenBank,EPI_ISL_17637228,PQ372796.1,2023-04-08,Whatcom County
USA/WA-PHL-033122/2023,GISAID; GenBank,EPI_ISL_17637239,PQ372808.1,2023-04-14,Whatcom County
USA/WA-PHL-032547/2023,GISAID; GenBank,EPI_ISL_17012849,PQ372518.1,2023-02-03,Whatcom County
USA/WA-PHL-032074/2023,GISAID; GenBank,EPI_ISL_16756006,PQ372094.1,2023-01-10,Whatcom County
USA/WA-PHL-032056/2023,GISAID,EPI_ISL_16755995,,2023-01-10,Whatcom County
USA/WA-PHL-032071/2023,GISAID; GenBank,EPI_ISL_16756004,PQ372091.1,2023-01-10,Whatcom County
USA/WA-PHL-032427/2023,GISAID; GenBank,EPI_ISL_17012740,PQ372409.1,2023-01-25,Whatcom County
USA/WA-CDC-LC1004693/2023,GISAID; GenBank,EPI_ISL_16916417,OQ432276.1,2023-01-31,Whatcom County
USA/WA-CDC-QDX46611926/2023,GISAID; GenBank,EPI_ISL_17009136,OQ505326.1,2023-02-06,Whatcom County
USA/WA-PHL-032555/2023,GISAID; GenBank,EPI_ISL_17012857,PQ372526.1,2023-02-02,Whatcom County
USA/WA-PHL-032027/2023,GISAID; GenBank,EPI_ISL_16755993,PQ372050.1,2023-01-04,Whatcom County
USA/WA-PHL-033002/2023,GISAID,EPI_ISL_17509672,,2023-03-17,Whatcom County
USA/WA-PHL-033123/2023,GISAID; GenBank,EPI_ISL_17637240,PQ372809.1,2023-04-13,Whatcom County
USA/WA-PHL-032798/2023,GISAID; GenBank,EPI_ISL_17258702,PQ386037.1,2023-02-18,Whatcom County
USA/WA-CDC-LC1021989/2023,GISAID; GenBank,EPI_ISL_17197160,OQ614492.1,2023-02-23,Whatcom County
USA/WA-PHL-032454/2023,GISAID; GenBank,EPI_ISL_17012764,PQ372433.1,2023-01-26,Whatcom County
USA/WA-PHL-033058/2023,GISAID; GenBank,EPI_ISL_17509721,PQ372754.1,2023-03-26,Whatcom County
USA/WA-CDC-UW23091043035/2023,GISAID; GenBank,EPI_ISL_18291171,OR578491.1,2023-09-10,Whatcom County
USA/WA-CDC-LC0988114/2023,GISAID; GenBank,EPI_ISL_16665233,OQ294596.1,2023-01-07,Whatcom County
USA/WA-PHL-032011/2023,GISAID; GenBank,EPI_ISL_16755985,PQ372040.1,2023-01-04,Whatcom County
USA/WA-PHL-032440/2023,GISAID; GenBank,EPI_ISL_17012751,PQ372420.1,2023-01-24,Whatcom County
USA/WA-CDC-LC1028529/2023,GISAID; GenBank,EPI_ISL_17278926,OQ681737.1,2023-03-09,Whatcom County
USA/WA-CDC-QDX47043301/2023,GISAID; GenBank,EPI_ISL_17147063,OQ583169.1,2023-02-16,Whatcom County
USA/WA-PHL-032441/2023,GISAID; GenBank,EPI_ISL_17012752,PQ372421.1,2023-01-27,Whatcom County
USA/WA-CDC-LC1004713/2023,GISAID; GenBank,EPI_ISL_16915856,OQ431791.1,2023-01-24,Whatcom County
USA/WA-PHL-032279/2023,GISAID; GenBank,EPI_ISL_16756019,PQ372280.1,2023-01-20,Whatcom County
USA/WA-PHL-032904/2023,GISAID; GenBank,EPI_ISL_17258716,PQ386128.1,2023-02-25,Whatcom County
USA/WA-PHL-032452/2023,GISAID; GenBank,EPI_ISL_17012763,PQ372432.1,2023-01-24,Whatcom County
USA/WA-PHL-032790/2023,GISAID; GenBank,EPI_ISL_17258698,PQ386029.1,2023-02-16,Whatcom County
USA/WA-CDC-LC0989595/2023,GISAID; GenBank,EPI_ISL_16665306,OQ294668.1,2023-01-07,Whatcom County
USA/WA-CDC-QDX85991793/2023,GISAID; GenBank,EPI_ISL_18404238,OR686647.1,2023-10-03,Whatcom County
USA/WA-PHL-031996/2023,GISAID; GenBank,EPI_ISL_16756040,PQ372030.1,2023-01-06,Whatcom County
USA/WA-PHL-031765/2022,GISAID; GenBank,EPI_ISL_16710617,OQ835880.1,2022-12-28,Whatcom County
USA/WA-CDC-UW23031503770/2023,GISAID; GenBank,EPI_ISL_17322196,OQ704462.1,2023-03-15,Whatcom County
USA/WA-PHL-032435/2023,GISAID; GenBank,EPI_ISL_17012747,PQ372415.1,2023-01-28,Whatcom County
USA/WA-UW-24012507582/2024,GISAID; GenBank,EPI_ISL_19138347,PP492669.1,2024-01-25,Whatcom County
USA/WA-PHL-032935/2023,GISAID; GenBank,EPI_ISL_17509641,PQ372684.1,2023-03-10,Whatcom County
USA/WA-PHL-033055/2023,GISAID; GenBank,EPI_ISL_17509719,PQ372751.1,2023-03-21,Whatcom County
USA/WA-PHL-033097/2023,GISAID; GenBank,EPI_ISL_17509752,PQ372784.1,2023-03-31,Whatcom County
USA/WA-PHL-033184/2023,GISAID; GenBank,EPI_ISL_17977978,OR098824.1,2023-05-22,Whatcom County
USA/WA-PHL-032551/2023,GISAID; GenBank,EPI_ISL_17012853,PQ372522.1,2023-02-06,Whatcom County
USA/WA-PHL-032750/2023,GISAID; GenBank,EPI_ISL_17258687,PQ385997.1,2023-02-10,Whatcom County
USA/WA-PHL-033179/2023,GISAID; GenBank,EPI_ISL_17977975,OR098821.1,2023-05-09,Whatcom County
USA/WA-CDC-QDX47043305/2023,GISAID; GenBank,EPI_ISL_17147115,OQ583221.1,2023-02-16,Whatcom County
USA/WA-PHL-033120/2023,GISAID; GenBank,EPI_ISL_17637237,PQ372806.1,2023-04-14,Whatcom County
USA/WA-PHL-032263/2023,GISAID; GenBank,EPI_ISL_16756009,PQ372265.1,2023-01-16,Whatcom County
USA/WA-PHL-032908/2023,GISAID; GenBank,EPI_ISL_17258719,PQ386132.1,2023-03-06,Whatcom County
USA/WA-PHL-033135/2023,GISAID; GenBank,EPI_ISL_17637248,PQ372817.1,2023-04-24,Whatcom County
USA/WA-PHL-032266/2023,GISAID; GenBank,EPI_ISL_16756011,PQ372268.1,2023-01-18,Whatcom County
USA/WA-PHL-032911/2023,GISAID; GenBank,EPI_ISL_17258721,PQ386135.1,2023-03-02,Whatcom County
USA/WA-CDC-UW23040951419/2023,GISAID; GenBank,EPI_ISL_17544534,OQ870947.1,2023-04-09,Whatcom County
USA/WA-PHL-032073/2023,GISAID; GenBank,EPI_ISL_16756005,PQ372093.1,2023-01-12,Whatcom County
USA/WA-PHL-033181/2023,GISAID; GenBank,EPI_ISL_17977976,OR098822.1,2023-05-09,Whatcom County
USA/WA-CDC-QDX45962553/2023,GISAID; GenBank,EPI_ISL_16892190,OQ419650.1,2023-01-23,Whatcom County
USA/WA-PHL-033004/2023,GISAID; GenBank,EPI_ISL_17509673,PQ372707.1,2023-03-20,Whatcom County
USA/WA-PHL-032001/2023,GISAID; GenBank,EPI_ISL_16755980,PQ372034.1,2023-01-05,Whatcom County
USA/WA-PHL-032061/2023,GISAID; GenBank,EPI_ISL_16755998,PQ372081.1,2023-01-13,Whatcom County
USA/WA-PHL-031984/2023,GISAID; GenBank,EPI_ISL_16755973,PQ372020.1,2023-01-05,Whatcom County
USA/WA-PHL-032023/2023,GISAID; GenBank,EPI_ISL_16755992,PQ372047.1,2023-01-09,Whatcom County
USA/WA-PHL-032059/2023,GISAID; GenBank,EPI_ISL_16755997,PQ372079.1,2023-01-10,Whatcom County
USA/WA-PHL-033182/2023,GISAID; GenBank,EPI_ISL_17977977,OR098823.1,2023-05-12,Whatcom County
USA/WA-PHL-032051/2023,GISAID; GenBank,EPI_ISL_16710777,OQ836047.1,2023-01-12,Whatcom County
USA/WA-PHL-032010/2023,GISAID; GenBank,EPI_ISL_16755984,PQ372039.1,2023-01-06,Whatcom County
USA/WA-PHL-032945/2023,GISAID; GenBank,EPI_ISL_17509651,PQ372689.1,2023-03-08,Whatcom County
USA/WA-PHL-032282/2023,GISAID; GenBank,EPI_ISL_16756020,PQ372282.1,2023-01-18,Whatcom County
USA/WA-PHL-032905/2023,GISAID; GenBank,EPI_ISL_17258717,PQ386129.1,2023-02-24,Whatcom County
USA/WA-PHL-032014/2023,GISAID,EPI_ISL_16756029,,2023-01-03,Whatcom County
USA/WA-PHL-032540/2023,GISAID; GenBank,EPI_ISL_17012844,PQ372513.1,2023-02-06,Whatcom County
USA/WA-PHL-032446/2023,GISAID; GenBank,EPI_ISL_17012757,PQ372426.1,2023-01-30,Whatcom County
USA/WA-PHL-032787/2023,GISAID; GenBank,EPI_ISL_17258697,PQ386028.1,2023-02-15,Whatcom County
USA/WA-PHL-032811/2023,GISAID; GenBank,EPI_ISL_17258710,PQ386048.1,2023-02-19,Whatcom County
USA/WA-PHL-032746/2023,GISAID; GenBank,EPI_ISL_17258684,PQ385993.1,2023-02-06,Whatcom County
USA/WA-PHL-032432/2023,GISAID; GenBank,EPI_ISL_17012745,PQ372414.1,2023-01-27,Whatcom County
USA/WA-CDC-QDX47312319/2023,GISAID; GenBank,EPI_ISL_17237639,OQ643219.1,2023-02-24,Whatcom County
USA/WA-PHL-032895/2023,GISAID,EPI_ISL_17258713,,2023-02-21,Whatcom County
USA/WA-CDC-QDX86279549/2023,GISAID; GenBank,EPI_ISL_18532659,OR813413.1,2023-10-11,Whatcom County
USA/WA-PHL-032756/2023,GISAID; GenBank,EPI_ISL_17258691,PQ386002.1,2023-02-08,Whatcom County
